id,title,authors,pages,url,section,issue,abstract,tags,date,pdf_url,database,year,volume,month,eng_title,doi_url,page_count
article-10001,Agenda,,,https://ugp.rug.nl/MenM/article/view/15386,algemeen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15386/12893/16466,1,1925,,,,,2
article-10002,Nederlandsch Nationaal Bureau voor Anthropologie,,,https://ugp.rug.nl/MenM/article/view/15387,algemeen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15387/12894/16467,1,1925,,,,,7
article-10003,Referaten,,,https://ugp.rug.nl/MenM/article/view/15388,algemeen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15388/12895/16468,1,1925,,,,,12
article-10004,Varia,,,https://ugp.rug.nl/MenM/article/view/15389,algemeen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15389/12896/16469,1,1925,,,,,5
article-10005,Titelpagina 1925 eerste jaargang,,,https://ugp.rug.nl/MenM/article/view/15390,algemeen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15390/12897/16470,1,1925,,,,,1
article-10006,Egoïsme en altruïsme,"Westendorp Boerma,N.",40-50,https://ugp.rug.nl/MenM/article/view/15391,artikelen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15391/12898/16471,1,1925,,,,,11
article-10007,Enkele opmerkingen over de maandelijksche geboorte,"Sanders,J.",51-63,https://ugp.rug.nl/MenM/article/view/15392,artikelen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15392/12899/16472,1,1925,,,,,13
article-10008,Eugenese en de misdadiger,"Darwin,Leonard",12-21,https://ugp.rug.nl/MenM/article/view/15393,artikelen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15393/12900/16473,1,1925,,,,,10
article-10009,Het beroepsgeheim van den medicus,"Vrij,M. P.",64-68,https://ugp.rug.nl/MenM/article/view/15394,artikelen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15394/12901/16474,1,1925,,,,,5
article-10010,Kindermoord in den Indischen Archipel,"Kleiweg de Zwaan,J. P.",22-39,https://ugp.rug.nl/MenM/article/view/15395,artikelen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15395/12902/16475,1,1925,,,,,18
article-10011,Nieuwste Duitsche sociologie,"Steinmetz,S. R.",3-11,https://ugp.rug.nl/MenM/article/view/15396,artikelen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15396/12903/16476,1,1925,,,,,9
